date,RSSI
2020-07-08 23:06:21.743228,74
2020-07-08 23:06:22.877225,74
2020-07-08 23:06:23.998233,74
2020-07-08 23:06:25.118228,74
2020-07-08 23:06:26.237228,74
2020-07-08 23:06:27.356268,74
2020-07-08 23:06:28.476278,74
2020-07-08 23:06:29.595257,74
2020-07-08 23:06:30.715277,74
2020-07-08 23:06:31.834281,74
2020-07-08 23:06:32.954230,74
2020-07-08 23:06:34.073224,74
2020-07-08 23:06:35.194041,73
2020-07-08 23:06:36.313070,74
2020-07-08 23:06:37.434038,73
2020-07-08 23:06:38.552029,73
2020-07-08 23:06:39.672071,73
2020-07-08 23:06:40.792036,73
2020-07-08 23:06:41.911073,73
2020-07-08 23:06:43.031074,74
2020-07-08 23:06:44.134029,74
2020-07-08 23:06:45.254067,74
2020-07-08 23:06:46.374032,74
2020-07-08 23:06:47.493031,74
2020-07-08 23:06:48.628164,74
2020-07-08 23:06:49.732035,73
2020-07-08 23:06:50.868032,74
2020-07-08 23:06:51.988074,74
2020-07-08 23:06:53.108087,74
2020-07-08 23:06:54.227033,74
2020-07-08 23:06:55.346029,74
2020-07-08 23:06:56.466039,74
2020-07-08 23:06:57.586037,74
2020-07-08 23:06:58.705039,74
2020-07-08 23:06:59.825031,74
2020-07-08 23:07:00.945075,74
2020-07-08 23:07:02.065095,74
2020-07-08 23:07:03.184038,74
2020-07-08 23:07:04.287032,74
2020-07-08 23:07:05.408095,74
2020-07-08 23:07:06.527039,74
2020-07-08 23:07:07.646071,74
2020-07-08 23:07:08.781096,74
2020-07-08 23:07:09.885036,74
2020-07-08 23:07:11.005031,73
2020-07-08 23:07:12.125038,73
2020-07-08 23:07:13.244029,73
2020-07-08 23:07:14.364087,73
2020-07-08 23:07:15.484086,73
2020-07-08 23:07:16.603041,73
2020-07-08 23:07:17.722029,73
2020-07-08 23:07:18.858070,73
2020-07-08 23:07:19.963041,73
2020-07-08 23:07:21.097037,73
2020-07-08 23:07:22.218037,73
2020-07-08 23:07:23.337073,73
2020-07-08 23:07:24.457037,73
2020-07-08 23:07:25.560035,73
2020-07-08 23:07:26.696046,73
2020-07-08 23:07:27.815033,72
2020-07-08 23:07:28.935085,73
2020-07-08 23:07:30.054029,72
2020-07-08 23:07:31.174032,73
2020-07-08 23:07:32.293030,73
2020-07-08 23:07:33.397029,73
2020-07-08 23:07:34.533086,73
2020-07-08 23:07:35.653037,73
2020-07-08 23:07:36.756033,73
2020-07-08 23:07:37.892038,73
2020-07-08 23:07:39.012034,73
2020-07-08 23:07:40.130030,73
2020-07-08 23:07:41.234037,73
2020-07-08 23:07:42.354029,73
2020-07-08 23:07:43.473045,73
2020-07-08 23:07:44.594039,73
2020-07-08 23:07:45.714095,73
2020-07-08 23:07:46.833073,73
2020-07-08 23:07:47.953038,73
2020-07-08 23:07:49.071030,73
2020-07-08 23:07:50.192108,73
2020-07-08 23:07:51.295034,73
2020-07-08 23:07:52.415034,73
2020-07-08 23:07:53.535074,73
2020-07-08 23:07:54.654039,73
2020-07-08 23:07:55.789073,73
2020-07-08 23:07:56.908706,73
2020-07-08 23:07:58.028363,73
2020-07-08 23:07:59.148403,73
2020-07-08 23:08:00.267373,73
2020-07-08 23:08:01.387353,73
2020-07-08 23:08:02.506347,73
2020-07-08 23:08:03.626360,73
2020-07-08 23:08:04.730130,73
2020-07-08 23:08:05.850071,74
2020-07-08 23:08:06.984847,73
2020-07-08 23:08:08.104910,73
2020-07-08 23:08:09.207847,73
2020-07-08 23:08:10.327902,73
2020-07-08 23:08:11.447848,73
2020-07-08 23:08:12.566848,73
2020-07-08 23:08:13.687883,73
2020-07-08 23:08:14.805845,73
2020-07-08 23:08:15.925841,73
2020-07-08 23:08:17.045857,73
2020-07-08 23:08:18.164848,73
2020-07-08 23:08:19.284844,73
2020-07-08 23:08:20.404848,73
2020-07-08 23:08:21.523879,73
2020-07-08 23:08:22.643888,73
2020-07-08 23:08:23.762848,74
2020-07-08 23:08:24.882889,74
2020-07-08 23:08:26.001846,74
2020-07-08 23:08:27.121876,74
2020-07-08 23:08:28.241845,74
2020-07-08 23:08:29.360848,74
2020-07-08 23:08:30.480885,74
2020-07-08 23:08:31.584886,74
2020-07-08 23:08:32.704848,73
2020-07-08 23:08:33.822841,74
2020-07-08 23:08:34.942842,73
2020-07-08 23:08:36.062881,74
2020-07-08 23:08:37.182896,74
2020-07-08 23:08:38.301844,74
2020-07-08 23:08:39.421846,74
2020-07-08 23:08:40.540848,74
2020-07-08 23:08:41.660843,74
2020-07-08 23:08:42.780911,74
2020-07-08 23:08:43.900849,74
2020-07-08 23:08:45.019878,74
2020-07-08 23:08:46.155875,74
2020-07-08 23:08:47.275848,74
2020-07-08 23:08:48.378845,74
2020-07-08 23:08:49.498895,74
2020-07-08 23:08:50.618857,73
2020-07-08 23:08:51.737869,74
2020-07-08 23:08:52.872876,74
2020-07-08 23:08:53.977899,74
2020-07-08 23:08:55.095851,74
2020-07-08 23:08:56.215844,74
2020-07-08 23:08:57.351850,74
2020-07-08 23:08:58.471903,73
2020-07-08 23:08:59.589933,73
2020-07-08 23:09:00.709853,74
2020-07-08 23:09:01.829845,74
2020-07-08 23:09:02.949846,74
2020-07-08 23:09:04.068844,74
2020-07-08 23:09:05.172844,74
2020-07-08 23:09:06.308851,74
2020-07-08 23:09:07.411882,74
2020-07-08 23:09:08.531892,74
2020-07-08 23:09:09.650843,74
2020-07-08 23:09:10.786842,74
2020-07-08 23:09:11.905840,74
2020-07-08 23:09:13.025844,74
2020-07-08 23:09:14.145906,73
2020-07-08 23:09:15.265912,74
2020-07-08 23:09:16.384853,74
2020-07-08 23:09:17.520846,74
2020-07-08 23:09:18.639841,73
2020-07-08 23:09:19.744857,74
2020-07-08 23:09:20.862847,74
2020-07-08 23:09:21.998881,74
2020-07-08 23:09:23.117844,74
2020-07-08 23:09:24.237850,74
2020-07-08 23:09:25.361845,74
2020-07-08 23:09:26.476848,74
2020-07-08 23:09:27.596883,74
2020-07-08 23:09:28.717858,74
2020-07-08 23:09:29.836899,74
2020-07-08 23:09:30.955887,74
2020-07-08 23:09:32.075861,73
2020-07-08 23:09:33.178882,74
2020-07-08 23:09:34.298891,74
2020-07-08 23:09:35.417842,74
2020-07-08 23:09:36.537883,74
2020-07-08 23:09:37.657846,74
2020-07-08 23:09:38.776882,74
2020-07-08 23:09:39.897852,74
2020-07-08 23:09:41.016845,74
2020-07-08 23:09:42.135842,74
2020-07-08 23:09:43.255890,74
2020-07-08 23:09:44.374872,74
2020-07-08 23:09:45.494893,74
2020-07-08 23:09:46.613848,74
2020-07-08 23:09:47.734856,73
2020-07-08 23:09:48.853857,73
2020-07-08 23:09:49.974197,73
2020-07-08 23:09:51.109196,74
2020-07-08 23:09:52.229248,74
2020-07-08 23:09:53.348213,74
2020-07-08 23:09:54.467194,73
2020-07-08 23:09:55.587232,73
2020-07-08 23:09:56.707195,74
2020-07-08 23:09:57.826196,73
2020-07-08 23:09:58.946194,74
2020-07-08 23:10:00.065190,74
2020-07-08 23:10:01.185241,74
2020-07-08 23:10:02.304249,74
2020-07-08 23:10:03.425197,74
2020-07-08 23:10:04.544194,74
2020-07-08 23:10:05.664198,74
2020-07-08 23:10:06.784198,74
2020-07-08 23:10:07.902189,73
2020-07-08 23:10:09.023196,74
2020-07-08 23:10:10.127249,74
2020-07-08 23:10:11.262196,74
2020-07-08 23:10:12.381198,73
2020-07-08 23:10:13.486198,74
2020-07-08 23:10:14.605191,73
2020-07-08 23:10:15.724194,74
2020-07-08 23:10:16.843189,74
2020-07-08 23:10:17.963190,74
2020-07-08 23:10:19.084197,73
2020-07-08 23:10:20.186196,74
2020-07-08 23:10:21.323256,74
2020-07-08 23:10:22.442221,74
2020-07-08 23:10:23.545194,74
2020-07-08 23:10:24.665236,74
2020-07-08 23:10:25.801247,74
2020-07-08 23:10:26.904193,74
2020-07-08 23:10:28.023249,73
2020-07-08 23:10:29.160209,73
2020-07-08 23:10:30.263454,73
2020-07-08 23:10:31.382202,73
2020-07-08 23:10:32.502189,73
2020-07-08 23:10:33.621192,73
2020-07-08 23:10:34.741221,73
2020-07-08 23:10:35.860318,73
2020-07-08 23:10:36.980229,73
2020-07-08 23:10:38.100227,73
2020-07-08 23:10:39.219296,73
